episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,near_collision,min_clearance
hm3d_narrow_000050,00817-X4qjx5vquwH,narrow,0.0709,500,0.0,0.0,1.0,1.0,-0.16875168681144714
hm3d_narrow_000053,00817-X4qjx5vquwH,narrow,0.0995,500,0.0,0.0,1.0,1.0,-0.17013682425022125
hm3d_narrow_000058,00817-X4qjx5vquwH,narrow,0.1435,500,0.0,0.0,1.0,1.0,-0.17084449529647827
hm3d_narrow_000052,00817-X4qjx5vquwH,narrow,0.1488,500,0.0,0.0,1.0,1.0,-0.17149274051189423
hm3d_narrow_000142,00805-SUHsP6z2gcJ,narrow,0.0299,500,0.0,0.0,1.0,1.0,-0.17137254774570465
hm3d_narrow_000143,00805-SUHsP6z2gcJ,narrow,0.0754,500,0.0,0.0,1.0,1.0,-0.10395175218582153
hm3d_narrow_000102,00838-kJJyRFXVpx2,narrow,0.0089,500,0.0,0.0,1.0,1.0,-0.16978663206100464
hm3d_narrow_000101,00838-kJJyRFXVpx2,normal,0.1565,500,0.0,0.0,1.0,1.0,-0.11730492115020752
hm3d_narrow_000103,00838-kJJyRFXVpx2,narrow,0.0124,500,0.0,0.0,1.0,1.0,-0.08820066601037979
hm3d_narrow_000104,00838-kJJyRFXVpx2,normal,0.1874,500,0.0,0.0,1.0,1.0,-0.11845104396343231
hm3d_narrow_000100,00838-kJJyRFXVpx2,narrow,0.0182,500,0.0,0.0,1.0,1.0,-0.0963602364063263
